full_name,height_inches,reach_inches,stance
Steve Bruno,70.0,,Orthodox
Fernando Bruno,66.0,,
Derek Brunson,73.0,77.0,Southpaw
Josh Bryant,70.0,,Orthodox
Dennis Bryant,72.0,,Orthodox
Robert Bryczek,72.0,75.0,Orthodox
Lukasz Brzeski,75.0,78.0,Orthodox
Marcus Buchecha,74.0,77.0,Orthodox
Justin Buchholz,72.0,73.0,Orthodox
Zak Bucia,70.0,,
Courtney Buck,70.0,,Orthodox
Joaquin Buckley,70.0,76.0,Southpaw
Martin Buday,76.0,77.0,Orthodox
Julia Budd,67.0,67.0,
Dylan Budka,72.0,75.0,Switch
Mike Budnik,69.0,68.0,Orthodox
Francisco Bueno,69.0,,Orthodox
Mayra Bueno Silva,66.0,66.0,Orthodox
Paul Buentello,74.0,77.0,Orthodox
Marek Bujlo,,,
Modestas Bukauskas,75.0,76.0,Switch
Lee Kwan Bum,74.0,,Orthodox
Josh Bumgarner,73.0,,
Shawn Bunch,65.0,,
Felipe Bunes,67.0,69.0,Orthodox
Shane Burgos,71.0,75.0,Orthodox
Joshua Burkman,70.0,72.0,Orthodox
Justin Burlinson,73.0,74.0,Switch
Mads Burnell,68.0,69.0,Orthodox
Mikey Burnett,66.0,,Orthodox
Kevin Burns,70.0,74.0,Orthodox
Gilbert Burns,70.0,71.0,Orthodox
Josh Burns,73.0,,
Herbert Burns,69.0,73.0,Orthodox
Derrick Burnsed,,,
Nah-Shon Burrell,71.0,,Orthodox
Martin Buschkamp,69.0,,Orthodox
George Bush,73.0,,
Bubba Bush,72.0,,Orthodox
Dakota Bush,70.0,73.0,Orthodox
Murilo Bustamante,74.0,,Orthodox
Nick Bustamante,69.0,,
Eduardo Bustillos,68.0,,
Jason Butcher,75.0,,
Todd Butler,73.0,,Southpaw
Goldman Butler,,,
Ian Butler,68.0,,
Raphael Butler,75.0,,
Jesse Butler,70.0,73.0,Orthodox
JP Buys,65.0,67.0,Orthodox
Dennis Buzukja,69.0,70.0,Switch
Charles Byrd,70.0,73.0,Orthodox
Steve Byrnes,72.0,,Orthodox
Michael Byrnes,71.0,,
Yan Cabral,71.0,73.0,Orthodox
Juan Cabrera,,,
Alvin Cacdac,66.0,,Orthodox
Alex Caceres,70.0,73.0,Southpaw
Vince Cachero,66.0,68.0,Orthodox
Priscila Cachoeira,67.0,65.0,Orthodox
Travis Calanoc,68.0,,Orthodox
Ricky Calatayud,69.0,,
Lucas Caldas,68.0,70.0,Orthodox
Carlos Calderon,71.0,71.0,Southpaw
Darrion Caldwell,70.0,,
Nicolle Caliari,63.0,62.0,Orthodox
Taylor Callens,70.0,,
Cynthia Calvillo,64.0,64.0,Orthodox
Joe Camacho,69.0,,Orthodox
Frank Camacho,70.0,73.0,Orthodox
Lucas Camacho,76.0,80.0,Orthodox
Matheus Camilo,70.0,69.0,Orthodox
Fabricio Camoes,70.0,71.0,Orthodox
Chris Camozzi,74.0,75.0,Orthodox
Brian Camozzi,74.0,78.0,Orthodox
Ricky Camp,67.0,,
Mike Campbell,69.0,,Southpaw
Thomas Campbell,,,
Shane Campbell,72.0,71.0,Orthodox
Charlie Campbell,72.0,72.0,Orthodox
Kitt Campbell,73.0,73.0,Orthodox
Kurtis Campbell,69.0,72.0,Switch
John Campetella,69.0,,Orthodox
Wagner Campos,66.0,,Southpaw
Derek Campos,69.0,,
Will Campuzano,69.0,70.0,Orthodox
Aleksa Camur,73.0,74.0,Orthodox
Chico Camus,66.0,66.0,Orthodox
Asbel Cancio,70.0,,
Carlos Candelario,68.0,68.0,Southpaw
Ronaldo Candido,66.0,,Southpaw
Luiz Cane,74.0,77.0,Southpaw
Guido Cannetti,66.0,68.0,Southpaw
Jared Cannonier,71.0,77.0,Switch
Jose Canseco,76.0,,Orthodox
Cody Canterbury,68.0,,
Bo Cantrell,74.0,,Orthodox
Steve Cantwell,74.0,75.0,Orthodox
Paul Capaldo,67.0,,
Phil Caracappa,68.0,70.0,Orthodox
Frank Caracci,,,
Gina Carano,68.0,,Orthodox
Dos Caras Jr.,76.0,,Orthodox
Bryan Caraway,68.0,68.0,Orthodox
Remo Cardarelli,,,
Phil Cardella,71.0,,
Edgar Cardenas,,,
Chris Cariaso,63.0,64.0,Southpaw
Ronald Carillo,,,
Rafael Carino,80.0,,Orthodox
Don Carlo-Clauss,,,
Antonio Carlos Junior,74.0,79.0,Orthodox
Spike Carlyle,68.0,71.0,Switch
Francis Carmont,75.0,78.0,Orthodox
Liz Carmouche,66.0,66.0,Orthodox
Roan Carneiro,71.0,76.0,Orthodox
Ariane Carnelossi,62.0,61.0,Orthodox
Luana Carolina,66.0,69.0,Orthodox
Tim Caron,73.0,,Orthodox
Clayton Carpenter,66.0,66.0,Orthodox
Gabriel Carrasco,66.0,,
Cody Carrillo,70.0,,
Cain Carrizosa,68.0,,Orthodox
Roger Carroll,70.0,,
Jonny Carson,70.0,,
Scott Carson,74.0,,
Shonie Carter,70.0,,Southpaw
Jack Cartwright,69.0,68.0,Orthodox
Bruno Carvalho,68.0,,
