Fighter,Final ELO,Peak ELO
Miles Johns,1561.16,1584.33
Ruslan Magomedov,1561.01,1561.01
Luke Rockhold,1560.78,1634.61
Melvin Guillard,1560.77,1617.56
Diego Sanchez,1560.44,1650.96
Dustin Ortiz,1560.43,1575.52
John Dodson,1559.9,1607.76
Mayra Bueno Silva,1559.89,1603.04
Kennedy Nzechukwu,1559.82,1564.76
Oban Elliott,1559.81,1559.81
Jimmie Rivera,1559.21,1604.83
Kyung Ho Kang,1559.2,1610.72
Cheick Kongo,1559.17,1597.34
Justin Willis,1558.98,1578.33
Alex Caceres,1558.97,1599.7
Murilo Bustamante,1558.96,1558.96
Tito Ortiz,1558.84,1686.14
Makhmud Muradov,1558.83,1565.34
Jacare Souza,1558.67,1656.52
Christian Rodriguez,1558.58,1568.43
Jacqueline Cavalcanti,1558.13,1558.13
Dan Ige,1558.13,1608.89
Jeff Molina,1557.98,1557.98
Nate Maness,1557.76,1565.65
Shane Carwin,1557.71,1600.94
Rani Yahya,1557.14,1618.48
Andre Lima,1556.81,1556.81
Jerry Bohlander,1556.6,1586.27
Thiago Moises,1556.51,1559.81
Dan Hardy,1556.34,1594.99
Jaqueline Amorim,1556.21,1556.21
Guy Mezger,1556.19,1583.71
Evan Tanner,1556.09,1642.96
Ryan Spann,1555.95,1603.79
Tecia Pennington,1555.86,1592.76
Reinier de Ridder,1555.82,1555.82
Patrick Smith,1555.56,1555.56
Adrian Yanez,1555.25,1605.5
Nik Lentz,1555.11,1617.05
James Vick,1555.0,1663.81
Michael McDonald,1554.95,1582.35
Alan Jouban,1554.86,1582.98
Chris Curtis,1554.66,1595.66
Shawn Jordan,1554.34,1576.5
Charles Johnson,1554.07,1554.07
Alex Morono,1553.83,1611.99
Chris Wade,1553.81,1582.11
Nick Diaz,1553.69,1576.8
Renato Sobral,1553.62,1570.36
Abel Trujillo,1553.44,1602.93
Damir Ismagulov,1552.95,1590.39
Kurt Pellegrino,1552.84,1593.68
Tony Ferguson,1552.77,1770.87
Mark Munoz,1552.39,1623.62
Casey O'Neill,1552.02,1580.69
Felipe Lima,1551.88,1551.88
Bogdan Guskov,1551.78,1551.78
Frank Mir,1551.48,1645.89
Vinc Pichel,1551.45,1597.66
Laverne Clark,1551.18,1583.34
Darren Till,1551.15,1635.11
Nicolas Dalby,1551.07,1572.25
Stevie Ray,1550.97,1580.25
Lorenz Larkin,1550.9,1550.9
Raphael Assuncao,1550.71,1664.29
Kayla Harrison,1550.33,1550.33
Jussier Formiga,1550.1,1617.15
Denise Gomes,1549.95,1549.95
Alex Perez,1549.89,1605.88
Francis Carmont,1549.89,1617.07
Dennis Siver,1549.81,1608.94
Ilir Latifi,1549.65,1596.12
Alexander Gustafsson,1549.64,1644.91
Youssef Zalal,1549.44,1556.09
Viviane Araujo,1549.23,1561.12
Aleksandar Rakic,1549.12,1608.72
Stephan Bonnar,1549.03,1559.4
Norman Parke,1548.77,1592.74
Esteban Ribovics,1548.54,1548.54
Travis Browne,1548.53,1640.97
Brady Hiestand,1548.07,1548.07
Gabriel Bonfim,1547.83,1551.21
John Moraga,1547.8,1572.05
Ben Rothwell,1547.77,1593.82
Vinicius Oliveira,1547.73,1547.73
Casey Kenney,1547.69,1586.16
Leonardo Santos,1547.56,1625.96
Dean Lister,1547.23,1564.2
Bryan Caraway,1547.18,1594.39
Jens Pulver,1547.03,1603.02
Ray Borg,1546.93,1569.46
Claudia Gadelha,1546.87,1565.81
Bas Rutten,1546.49,1546.49
Zhang Mingyang,1546.34,1546.34
Joel Sutton,1546.34,1546.34
Jon Madsen,1546.15,1571.98
Marco Ruas,1546.14,1593.42
Adlan Amagov,1546.08,1546.08
Eddie Alvarez,1546.03,1569.75
Payton Talbott,1546.0,1567.2
Julio Arce,1545.84,1545.84
Brad Tavares,1545.65,1632.77
Sean Pierson,1545.56,1545.56
Victor Henry,1545.55,1575.36
Gerald Meerschaert,1545.52,1574.6
Hyder Amil,1545.34,1545.34
Alberto Mina,1545.01,1567.42
Chris Padilla,1544.95,1544.95
Julian Erosa,1544.73,1544.73
Davey Grant,1544.34,1545.95
Phillip Miller,1544.26,1544.26
Philipe Lins,1544.19,1544.19
Aaron Simpson,1543.94,1574.95
Cesar Almeida,1543.88,1543.88
Nikolas Motta,1543.85,1543.85
Evan Dunham,1543.65,1619.06
Gerald Harris,1543.34,1567.16
HyunSung Park,1543.02,1543.02
Jeremiah Wells,1543.01,1592.47
Jesus Aguilar,1542.84,1542.84
Danny Barlow,1542.7,1542.7
Oumar Sy,1542.64,1542.64
Thiago Tavares,1542.64,1569.34
Don Madge,1542.62,1542.62
Ibo Aslan,1542.55,1542.55
Charlie Campbell,1542.46,1542.46
Chris Holdsworth,1542.29,1542.29
Kevin Holland,1542.17,1627.42
Manuel Torres,1542.16,1567.23
Alejandro Perez,1542.06,1591.22
Constantinos Philippou,1541.9,1592.09
Desmond Green,1541.89,1541.89
Claude Patrick,1541.85,1562.8
Tom Breese,1541.6,1569.31
Dan Henderson,1541.53,1601.72
Paul Daley,1541.52,1557.18
Olivier Aubin-Mercier,1541.49,1612.27
Edimilson Souza,1541.48,1566.83
Luana Carolina,1541.44,1541.44
Trey Waters,1541.34,1541.34
Krzysztof Soszynski,1541.34,1570.72
Tainara Lisboa,1541.33,1541.33
Jean Matsumoto,1541.09,1541.09
Alex Hunter,1540.95,1540.95
Loopy Godinez,1540.92,1583.17
Mauricio Ruffy,1540.79,1540.79
Themba Gorimbo,1540.77,1558.09
Nurullo Aliev,1540.74,1540.74
Luana Santos,1540.43,1562.27
Muhammad Naimov,1540.35,1569.06
Ronnie Lawrence,1540.31,1542.24
Chris Duncan,1540.13,1540.13
Viscardi Andrade,1539.75,1539.75
Jack Shore,1539.48,1594.34
Marina Rodriguez,1539.44,1608.21
Luis Pena,1538.88,1552.17
Claudio Puelles,1538.74,1584.88
Ian Freeman,1538.65,1548.49
George Sotiropoulos,1538.59,1647.85
Diego Brandao,1538.41,1565.38
Charles Radtke,1538.35,1540.46
Marcus Davis,1538.02,1622.49
Gray Maynard,1537.91,1667.64
Patrick Cote,1537.83,1570.23
Ronaldo Rodriguez,1537.81,1537.81
Karol Rosa,1537.71,1570.82
Donald Cerrone,1537.69,1759.54
Albert Tumenov,1537.56,1589.7
Luis Saldana,1537.26,1537.26
Taila Santos,1537.25,1566.81
Abus Magomedov,1537.0,1537.0
Magnus Cedenblad,1536.9,1565.36
Karo Parisyan,1536.77,1616.17
Mark Madsen,1536.66,1583.04
Ricardo Almeida,1536.63,1558.42
Arjan Bhullar,1536.55,1536.55
Cezar Ferreira,1536.36,1585.47
Ikram Aliskerov,1536.09,1550.33
Amanda Ribas,1536.07,1585.34
Wilson Gouveia,1535.9,1586.61
Matheus Nicolau,1535.89,1610.25
Josh Koscheck,1535.83,1674.81
Melsik Baghdasaryan,1535.77,1542.62
Niko Price,1535.72,1588.31
Ron Waterman,1535.66,1535.66
Vladimir Matyushenko,1535.5,1582.83
David Terrell,1535.46,1535.46
Sergio Moraes,1535.3,1603.13
Jordan Mein,1535.16,1554.86
Davi Ramos,1535.13,1575.7
Joe Lauzon,1535.03,1608.42
Claudio Silva,1534.74,1607.11
Miesha Tate,1534.7,1566.12
Hakeem Dawodu,1534.35,1578.29
Jack Jenkins,1534.2,1537.93
Rodrigo Nascimento,1534.19,1576.31
Maurice Smith,1534.18,1557.46
Rinya Nakamura,1534.15,1557.98
Jorge Rivera,1534.08,1556.07
Brian Ebersole,1533.99,1586.05
Nicolae Negumereanu,1533.73,1560.64
Dooho Choi,1533.55,1572.09
Jeremy Kennedy,1532.95,1556.92
Jeff Monson,1532.92,1549.26
Ali Bagautinov,1532.64,1564.78
JJ Aldrich,1532.46,1569.23
Eryk Anders,1532.43,1548.92
Max Griffin,1532.42,1552.7
Dennis Bermudez,1532.26,1622.57
Karl Williams,1532.03,1553.9
Nursulton Ruziboev,1532.0,1549.11
Johnny Case,1531.83,1580.97
Vitor Petrino,1531.71,1580.29
Da'Mon Blackshear,1531.48,1543.62
Gleison Tibau,1531.4,1628.77
Hermes Franca,1531.34,1576.9
Mark Hunt,1531.3,1596.96
Vanessa Demopoulos,1531.24,1557.08
Jacob Volkmann,1531.08,1564.44
Ismail Naurdiev,1531.04,1531.04
Robert Peralta,1531.03,1577.17
Mike Russow,1531.01,1585.93
Ed Herman,1530.72,1595.95
Mark Coleman,1530.7,1641.85
Douglas Silva de Andrade,1530.68,1549.79
Tim Kennedy,1530.55,1572.57
Ramazan Emeev,1530.54,1579.75
Antonio Carlos Junior,1530.35,1594.37
Paul Craig,1530.29,1617.37
Carlos Condit,1529.79,1605.83
Drew Fickett,1529.77,1530.47
Justin Tafa,1529.64,1550.66
Sergey Khandozhko,1529.55,1529.55
Curtis Millender,1529.48,1570.99
John Castaneda,1529.47,1551.17
Nina Nunes,1529.26,1545.39
Ricardo Ramos,1529.24,1577.3
Myktybek Orolbai,1529.18,1549.62
Daniel Kelly,1528.92,1599.19
Morgan Charriere,1528.89,1528.89
Jacob Malkoun,1528.85,1528.85
Jafel Filho,1528.61,1528.61
Daniel Santos,1528.55,1528.55
Magomed Mustafaev,1528.29,1550.01
Melissa Gatto,1528.15,1546.2
Andre Fili,1528.08,1564.82
Lucas Martins,1527.99,1551.01
Christian Leroy Duncan,1527.93,1545.48
Tom Lawlor,1527.69,1547.29
Isaac Dulgarian,1527.59,1527.59
Khalid Murtazaliev,1527.57,1527.57
Adriano Martins,1527.51,1574.6
Allan Nascimento,1527.46,1527.46
Ismael Bonfim,1527.45,1527.45
Cathal Pendred,1527.38,1578.92
Sanae Kikuta,1527.08,1527.08
Shamil Gaziev,1526.94,1528.96
Saidyokub Kakhramonov,1526.84,1547.92
John Makdessi,1526.83,1572.11
Paul Sass,1526.78,1570.68
Iuri Alcantara,1526.57,1581.2
Jake Shields,1526.54,1547.39
Genki Sudo,1526.44,1526.44
Clayton Carpenter,1526.21,1544.98
Sara McMann,1526.01,1549.39
Michael Johnson,1525.97,1602.95
Jennifer Maia,1525.95,1547.4
Kevin Randleman,1525.83,1549.09
Ikuhisa Minowa,1525.78,1525.78
Mark Schultz,1525.66,1525.66
Brendan Schaub,1525.62,1567.52
Mirsad Bektic,1525.55,1601.23
Nora Cornolle,1525.53,1546.01
Brian Foster,1525.51,1525.51
Lee Murray,1525.48,1525.48
Azamat Bekoev,1525.4,1525.4
Juan Espino,1525.35,1545.14
Aspen Ladd,1525.26,1564.47
Dmitry Sosnovskiy,1525.23,1525.23
Matt Serra,1525.22,1556.13
Rafael Natal,1525.18,1600.84
Jonny Parsons,1524.95,1524.95
Brock Lesnar,1524.81,1593.44
Aleksei Oleinik,1524.77,1593.37
Viacheslav Borshchev,1524.67,1529.6
CB Dollaway,1524.53,1573.82
Mark Hall,1524.5,1544.72
Remco Pardoel,1524.48,1550.41
