Fighter,Final ELO,Peak ELO
Phil Rowe,1526.14,1556.87
Gabriella Fernandes,1526.08,1526.08
Evan Dunham,1526.02,1600.32
Jonny Parsons,1525.92,1525.92
Alden Coria,1525.82,1525.82
Juan Espino,1525.76,1545.45
Ed Herman,1525.63,1582.85
Luke Riley,1525.35,1525.35
Caio Magalhaes,1525.21,1571.4
Brendan Schaub,1525.2,1569.39
Islam Dulatov,1525.12,1525.12
Lyman Good,1525.04,1542.23
Frank Hamaker,1525.0,1525.0
Jonathan Wiezorek,1525.0,1525.0
Shi Ming,1525.0,1525.0
DongHun Choi,1525.0,1525.0
Marcelo Mello,1525.0,1525.0
Bob Cook,1525.0,1525.0
Mark Hall,1525.0,1525.0
Mark Schultz,1525.0,1525.0
Steve Jennum,1525.0,1525.0
Josh Hokit,1525.0,1525.0
Rafael Carino,1525.0,1525.0
Don Frye,1525.0,1525.0
Jon Hess,1525.0,1525.0
Keith Hackney,1525.0,1525.0
Jack Nilson,1525.0,1525.0
Scott Adams,1525.0,1525.0
Kazushi Sakuraba,1525.0,1525.0
Brando Pericic,1525.0,1525.0
Enson Inoue,1525.0,1525.0
Sione Latu,1525.0,1525.0
Tom Murphy,1525.0,1525.0
Aliaskhab Khizriev,1525.0,1525.0
Steve Nelmark,1525.0,1525.0
Daniil Donchenko,1525.0,1525.0
Jack Jenkins,1524.91,1537.84
Mirsad Bektic,1524.79,1603.15
Kyle Daukaus,1524.54,1524.54
Billy Elekana,1524.45,1524.45
Aleksei Oleinik,1524.25,1595.51
Santiago Luna,1524.22,1524.22
Carlston Harris,1524.1,1571.36
Maiquel Falcao,1523.96,1523.96
Bia Mesquita,1523.85,1523.85
Tim Credeur,1523.85,1573.2
Thiago Alves,1523.6,1662.31
Donte Johnson,1523.58,1523.58
Stephanie Luciano,1523.58,1523.58
Malcolm Wellmaker,1523.4,1546.03
Brian Stann,1523.15,1572.23
Timur Valiev,1523.14,1540.97
Montana De La Rosa,1523.09,1572.76
Cal Worsham,1523.07,1523.07
Sara McMann,1523.03,1550.08
Maurice Smith,1522.91,1545.51
CB Dollaway,1522.8,1574.13
Azamat Bekoev,1522.68,1551.35
Ethyn Ewing,1522.63,1522.63
Joe Solecki,1522.62,1584.01
Marco Tulio,1522.62,1545.63
Tom Duquesnoy,1522.42,1525.23
Michelle Montague,1522.33,1522.33
Ronnie Lawrence,1522.19,1543.12
Serhiy Sidey,1522.06,1522.06
Tim Boetsch,1521.97,1593.16
Siyar Bahadurzada,1521.97,1564.85
Steve Bosse,1521.88,1521.88
Axel Sola,1521.8,1521.8
Kyle Nelson,1521.7,1521.74
Kajan Johnson,1521.68,1560.78
Abdul-Kerim Edilov,1521.66,1521.66
Jamey-Lyn Horth,1521.65,1521.65
Taiyilake Nueraji,1521.55,1521.55
Marina Rodriguez,1521.47,1611.36
Javier Vazquez,1521.45,1521.45
Leslie Smith,1521.4,1521.4
Jonathan Micallef,1521.32,1521.32
Megan Anderson,1521.19,1533.53
Aisling Daly,1521.14,1525.0
Kevin Randleman,1521.13,1546.65
Roy Nelson,1521.05,1600.06
Mike Kyle,1521.04,1522.34
Tyson Pedro,1520.91,1550.24
Eryk Anders,1520.73,1550.06
Rodrigo Nascimento,1520.73,1561.78
Kenichi Yamamoto,1520.66,1544.13
Timothy Johnson,1520.61,1526.31
Wang Guan,1520.51,1520.51
Abdul Rakhman Yakhyaev,1520.39,1520.39
Chad Laprise,1520.34,1579.88
Jonathan Pearce,1520.16,1594.94
Adam Wieczorek,1520.07,1541.57
Montse Rendon,1520.06,1521.28
Mark Hughes,1520.0,1520.0
Mikey Burnett,1520.0,1520.0
Logan Clark,1520.0,1520.0
Joe Moreira,1520.0,1520.0
Ben Earwood,1520.0,1520.0
Denzel Freeman,1520.0,1520.0
